trait	fam	size	corr
293	Acoustic_Mean_Pressure_BLUP	FjPL	200	-0.00963799545573554
294	Acoustic_Mean_Pressure_BLUP	FjPL	210	-0.0117331326786371
295	Acoustic_Mean_Pressure_BLUP	FuPi	10	0.223678095915566
296	Acoustic_Mean_Pressure_BLUP	FuPi	20	0.367597096963279
297	Acoustic_Mean_Pressure_BLUP	FuPi	30	-0.0740433309963131
298	Acoustic_Mean_Pressure_BLUP	FuPi	40	0.232662651708942
299	Acoustic_Mean_Pressure_BLUP	FuPi	50	0.022600844163891
300	Acoustic_Mean_Pressure_BLUP	FuPi	60	0.150222986916655
301	Acoustic_Mean_Pressure_BLUP	FuPi	70	0.0170174675069166
302	Acoustic_Mean_Pressure_BLUP	FuPi	80	0.119337014500852
303	Acoustic_Mean_Pressure_BLUP	FuPi	90	0.143711418717009
304	Acoustic_Mean_Pressure_BLUP	FuPi	100	0.139041381574364
305	Acoustic_Mean_Pressure_BLUP	FuPi	110	0.143719139232304
306	Acoustic_Mean_Pressure_BLUP	FuPi	120	0.0632735051299023
307	Acoustic_Mean_Pressure_BLUP	FuPi	130	0.077868478611915
308	Acoustic_Mean_Pressure_BLUP	FuPi	140	0.041341989103748
309	Acoustic_Mean_Pressure_BLUP	FuPi	150	0.0936683712003592
310	Acoustic_Mean_Pressure_BLUP	FuPi	160	0.0664136000478472
311	Acoustic_Mean_Pressure_BLUP	FuPi	170	0.122368221777103
312	Acoustic_Mean_Pressure_BLUP	FuPi	180	0.217166233615664
313	Acoustic_Mean_Pressure_BLUP	FuPi	190	0.167968964708696
314	Acoustic_Mean_Pressure_BLUP	FuPi	200	0.178246765857717
315	Acoustic_Mean_Pressure_BLUP	FuPi	210	0.191526509817501
316	Acoustic_Mean_Pressure_BLUP	GaPi	10	0.181560082892799
317	Acoustic_Mean_Pressure_BLUP	GaPi	20	0.0340269213347801
318	Acoustic_Mean_Pressure_BLUP	GaPi	30	0.172720805132949
319	Acoustic_Mean_Pressure_BLUP	GaPi	40	0.158981769869584
320	Acoustic_Mean_Pressure_BLUP	GaPi	50	0.220795354055845
321	Acoustic_Mean_Pressure_BLUP	GaPi	60	0.196087058525297
322	Acoustic_Mean_Pressure_BLUP	GaPi	70	0.254971499577955
323	Acoustic_Mean_Pressure_BLUP	GaPi	80	0.3690263947023
324	Acoustic_Mean_Pressure_BLUP	GaPi	90	0.367626010646014
325	Acoustic_Mean_Pressure_BLUP	GaPi	100	0.314840121770898
326	Acoustic_Mean_Pressure_BLUP	GaPi	110	0.378198947010603
327	Acoustic_Mean_Pressure_BLUP	GaPi	120	0.319233274588433
328	Acoustic_Mean_Pressure_BLUP	GaPi	130	0.308663194935911
329	Acoustic_Mean_Pressure_BLUP	GaPi	140	0.428263615990309
330	Acoustic_Mean_Pressure_BLUP	GaPi	150	0.361289635140884
331	Acoustic_Mean_Pressure_BLUP	GaPi	160	0.30381506981466
332	Acoustic_Mean_Pressure_BLUP	GaPi	170	0.373276004701817
333	Acoustic_Mean_Pressure_BLUP	GaPi	180	0.373981319613796
334	Acoustic_Mean_Pressure_BLUP	GaPi	190	0.448299136706728
335	Acoustic_Mean_Pressure_BLUP	GaPi	200	0.453132309940192
336	Acoustic_Mean_Pressure_BLUP	GaPi	210	0.433332258539557
337	Acoustic_Mean_Pressure_BLUP	GaPL	10	0.522383616146389
338	Acoustic_Mean_Pressure_BLUP	GaPL	20	0.299498301369866
339	Acoustic_Mean_Pressure_BLUP	GaPL	30	0.0223155316676786
340	Acoustic_Mean_Pressure_BLUP	GaPL	40	0.043054307496011
341	Acoustic_Mean_Pressure_BLUP	GaPL	50	0.119108792020259
342	Acoustic_Mean_Pressure_BLUP	GaPL	60	0.136987557977866
343	Acoustic_Mean_Pressure_BLUP	GaPL	70	0.409992007381201
344	Acoustic_Mean_Pressure_BLUP	GaPL	80	0.546194277798653
